title,price,rating,availability
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","4,499.",4.0,In stock
Oboe Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery (Black) [Power Bank NOT Included],349.,4.0,In stock
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","1,899.",2.9,In stock
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black,"2,149.",4.2,In stock
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)","1,299.",4.2,In stock
"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)","1,699.",4.3,In stock
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)","1,599.",4.0,In stock
"Ambrane 20000mAh Power Bank, 20W Fast Charging, Tripe Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Blue)","1,599.",4.0,In stock
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More","3,099.",4.2,In stock
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",999.,3.9,In stock
"Ambrane 20000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Green)","1,599.",4.0,In stock
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",999.,3.9,In stock
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)","2,499.",4.0,In stock
"Qubo MagZap X1 from Hero Group 5000 mAh Magnetic Magsafe Wireless Power Bank, 15W Wireless/20W Wired Output, USB Type C, Supports iPhone 12 & Above, Metal Ring Included for Older Models (Black)","2,390.",3.4,In stock
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",999.,3.9,In stock
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","1,499.",3.9,In stock
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh Slim Power Bank, USB C/Micro USB Input, Dual USB A Output, Compatible with iPhone 14 13 12 11 Samsung S22 S23 S21 Google Pixel 7 Oneplus (Black-P10)",599.,3.9,In stock
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),"1,299.",4.2,In stock
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","1,899.",2.9,In stock
